,תאריך,שער,פתיחה,גבוה,נמוך,שינוי %
0,04.01.2022,3.0879,3.1112,3.1112,3.0859,-0.65%
1,03.01.2022,3.1081,3.1016,3.1148,3.0807,0.11%
2,31.12.2021,3.1047,3.1058,3.1156,3.0983,0.01%
3,30.12.2021,3.1043,3.1198,3.1255,3.0981,-0.54%
4,29.12.2021,3.1211,3.1017,3.1258,3.1002,0.70%
5,28.12.2021,3.0993,3.1137,3.1251,3.0942,-0.41%
6,27.12.2021,3.1122,3.1535,3.1535,3.1089,-1.19%
7,24.12.2021,3.1498,3.1528,3.1605,3.1443,-0.04%
8,23.12.2021,3.1512,3.1631,3.1666,3.1456,-0.33%
9,22.12.2021,3.1617,3.1653,3.1728,3.1555,0.02%
10,21.12.2021,3.1612,3.1693,3.172,3.1484,-0.21%
11,20.12.2021,3.1679,3.1281,3.1736,3.127,1.37%
12,17.12.2021,3.125,3.0995,3.1348,3.0968,0.84%
13,16.12.2021,3.0991,3.1201,3.1253,3.0891,-0.61%
14,15.12.2021,3.118,3.1384,3.1431,3.1182,-0.56%
15,14.12.2021,3.1356,3.1129,3.1418,3.1016,0.78%
16,13.12.2021,3.1113,3.1017,3.1178,3.0935,0.40%
17,10.12.2021,3.0989,3.1014,3.1081,3.0898,-0.03%
18,09.12.2021,3.0997,3.0984,3.1114,3.0963,0.10%
19,08.12.2021,3.0967,3.1302,3.1307,3.096,-0.99%
20,07.12.2021,3.1276,3.1672,3.1683,3.1244,-1.18%
21,06.12.2021,3.1649,3.1621,3.1827,3.1525,0.14%
22,03.12.2021,3.1605,3.1658,3.169,3.1504,-0.02%
23,02.12.2021,3.161,3.1695,3.1735,3.1541,-0.03%
24,01.12.2021,3.162,3.1511,3.1667,3.1394,0.41%
25,30.11.2021,3.1491,3.1616,3.1716,3.138,-0.26%
26,29.11.2021,3.1573,3.186,3.1874,3.1477,-0.98%
27,26.11.2021,3.1886,3.1611,3.1978,3.16,0.92%
28,25.11.2021,3.1596,3.1479,3.1656,3.128,0.46%
29,24.11.2021,3.1452,3.1346,3.1825,3.1294,0.46%
30,23.11.2021,3.1309,3.0894,3.1447,3.0877,1.44%
31,22.11.2021,3.0866,3.097,3.0979,3.0845,-0.31%
32,19.11.2021,3.0963,3.0861,3.0984,3.084,0.40%
33,18.11.2021,3.084,3.077,3.093,3.073,0.28%
34,17.11.2021,3.0755,3.097,3.0996,3.0405,-0.54%
35,16.11.2021,3.0923,3.1028,3.1093,3.0875,-0.30%
36,15.11.2021,3.1015,3.1081,3.1119,3.1006,-0.14%
37,12.11.2021,3.106,3.1188,3.1204,3.1057,-0.35%
38,11.11.2021,3.1169,3.1208,3.1272,3.1126,0.04%
39,10.11.2021,3.1158,3.1093,3.1212,3.1033,0.31%
40,09.11.2021,3.1063,3.1129,3.1156,3.0988,-0.12%
41,08.11.2021,3.1101,3.1098,3.1159,3.0826,0.04%
42,05.11.2021,3.1088,3.1084,3.1203,3.1026,0.15%
43,04.11.2021,3.104,3.1175,3.1276,3.1044,-0.37%
44,03.11.2021,3.1154,3.137,3.1414,3.1151,-0.53%
45,02.11.2021,3.1319,3.117,3.1478,3.1,0.59%
46,01.11.2021,3.1135,3.16,3.1618,3.1119,-1.44%
47,29.10.2021,3.159,3.1649,3.1665,3.1456,-0.09%
48,28.10.2021,3.162,3.1892,3.1911,3.1602,-0.84%
49,27.10.2021,3.1889,3.1983,3.2016,3.1849,-0.28%
50,26.10.2021,3.198,3.2012,3.2041,3.197,-0.04%
51,25.10.2021,3.1992,3.2081,3.2129,3.1982,-0.20%
52,22.10.2021,3.2055,3.2093,3.2129,3.2055,-0.05%
53,21.10.2021,3.2072,3.2118,3.2148,3.2074,-0.11%
54,20.10.2021,3.2108,3.2134,3.2174,3.2097,-0.06%
55,19.10.2021,3.2128,3.2185,3.2199,3.2089,-0.13%
56,18.10.2021,3.2169,3.2213,3.2303,3.2157,-0.11%
57,15.10.2021,3.2205,3.2212,3.2262,3.2169,0.00%
58,14.10.2021,3.2205,3.228,3.2308,3.2159,-0.06%
59,13.10.2021,3.2225,3.232,3.2375,3.225,-0.24%
60,12.10.2021,3.2303,3.2278,3.2346,3.2227,0.12%
61,11.10.2021,3.2264,3.2329,3.2359,3.222,-0.16%
62,08.10.2021,3.2316,3.226,3.2345,3.2225,0.24%
63,07.10.2021,3.2239,3.2377,3.2385,3.2224,-0.32%
64,06.10.2021,3.2342,3.232,3.2538,3.2304,0.11%
65,05.10.2021,3.2306,3.2245,3.2379,3.222,0.28%
66,04.10.2021,3.2217,3.2194,3.2291,3.2133,0.19%
67,01.10.2021,3.2156,3.2247,3.2303,3.2139,-0.25%
68,30.09.2021,3.2235,3.2188,3.2352,3.2121,0.19%
69,29.09.2021,3.2174,3.215,3.2234,3.2076,0.25%
70,28.09.2021,3.2093,3.2,3.2183,3.1994,0.31%
71,27.09.2021,3.1995,3.1986,3.2071,3.1972,0.09%
72,24.09.2021,3.1966,3.198,3.2055,3.1958,-0.01%
73,23.09.2021,3.1969,3.2045,3.2055,3.1957,-0.11%
74,22.09.2021,3.2005,3.2058,3.2134,3.1985,-0.11%
75,21.09.2021,3.2041,3.2125,3.2134,3.2023,-0.23%
76,20.09.2021,3.2114,3.2086,3.2183,3.2064,0.17%
77,17.09.2021,3.206,3.2138,3.2173,3.2032,-0.21%
78,16.09.2021,3.2127,3.2053,3.2142,3.2045,0.28%
79,15.09.2021,3.2036,3.2116,3.212,3.2011,-0.19%
80,14.09.2021,3.2096,3.2085,3.2183,3.203,0.03%
81,13.09.2021,3.2087,3.1998,3.2125,3.1997,0.33%
82,10.09.2021,3.1983,3.2056,3.2078,3.1962,-0.17%
83,09.09.2021,3.2038,3.2053,3.2129,3.1999,0.02%
84,08.09.2021,3.2031,3.2062,3.2103,3.2017,-0.02%
85,07.09.2021,3.2039,3.2037,3.2099,3.1998,0.09%
86,06.09.2021,3.2011,3.2031,3.2069,3.1978,0.04%
87,03.09.2021,3.1998,3.2065,3.2088,3.1996,-0.09%
88,02.09.2021,3.2026,3.2064,3.2111,3.2035,-0.01%
89,01.09.2021,3.203,3.2051,3.2129,3.2011,-0.01%
90,31.08.2021,3.2032,3.2162,3.219,3.2022,-0.33%
91,30.08.2021,3.2139,3.2202,3.2268,3.2137,-0.18%
92,27.08.2021,3.2196,3.2265,3.2348,3.2174,-0.14%
93,26.08.2021,3.2242,3.223,3.2304,3.2172,-0.02%
94,25.08.2021,3.2247,3.218,3.2409,3.216,0.28%
95,24.08.2021,3.2157,3.2235,3.229,3.2129,-0.21%
96,23.08.2021,3.2225,3.2387,3.2394,3.2227,-0.46%
97,20.08.2021,3.2375,3.2482,3.2498,3.2366,-0.29%
98,19.08.2021,3.247,3.2333,3.255,3.231,0.47%
99,18.08.2021,3.2318,3.237,3.2436,3.2271,-0.11%
100,17.08.2021,3.2355,3.2266,3.2403,3.2191,0.36%
101,16.08.2021,3.224,3.2157,3.2292,3.2115,0.32%
102,13.08.2021,3.2138,3.2225,3.2264,3.2109,-0.22%
103,12.08.2021,3.2208,3.2306,3.2306,3.2192,-0.25%
104,11.08.2021,3.229,3.2262,3.2334,3.2097,0.07%
105,10.08.2021,3.2269,3.2206,3.2301,3.2158,0.24%
106,09.08.2021,3.2193,3.2258,3.2297,3.2129,-0.16%
107,06.08.2021,3.2243,3.2136,3.2278,3.2118,0.37%
108,05.08.2021,3.2125,3.2132,3.2183,3.2078,0.06%
109,04.08.2021,3.2105,3.2098,3.2178,3.203,0.07%
110,03.08.2021,3.2082,3.2243,3.2293,3.2082,-0.45%
111,02.08.2021,3.2227,3.2288,3.2352,3.2149,-0.07%
112,30.07.2021,3.2248,3.2401,3.2462,3.2246,-0.36%
113,29.07.2021,3.2364,3.2498,3.2534,3.235,-0.49%
114,28.07.2021,3.2523,3.2552,3.2668,3.2442,-0.00%
115,27.07.2021,3.2524,3.256,3.2619,3.248,-0.07%
116,26.07.2021,3.2546,3.2724,3.2744,3.2545,-0.51%
117,23.07.2021,3.2714,3.2743,3.2824,3.2648,-0.02%
118,22.07.2021,3.272,3.2771,3.2801,3.2668,-0.05%
119,21.07.2021,3.2735,3.2922,3.297,3.2705,-0.50%
120,20.07.2021,3.2898,3.2985,3.3038,3.2877,-0.25%
121,19.07.2021,3.2982,3.2893,3.3031,3.2875,0.34%
122,16.07.2021,3.287,3.2758,3.2924,3.267,0.44%
123,15.07.2021,3.2726,3.2634,3.2788,3.2544,0.35%
124,14.07.2021,3.2611,3.2845,3.2898,3.2596,-0.69%
125,13.07.2021,3.2838,3.2817,3.2898,3.2762,0.11%
126,12.07.2021,3.2801,3.2804,3.2877,3.2727,0.08%
127,09.07.2021,3.2776,3.28,3.2854,3.2706,-0.03%
128,08.07.2021,3.2785,3.2731,3.2847,3.2676,0.24%
129,07.07.2021,3.2706,3.2752,3.2787,3.262,-0.09%
130,06.07.2021,3.2735,3.2631,3.2778,3.255,0.37%
131,05.07.2021,3.2615,3.269,3.272,3.2583,-0.18%
132,02.07.2021,3.2674,3.2689,3.2762,3.265,0.01%
133,01.07.2021,3.2671,3.2596,3.2745,3.2578,0.31%
134,30.06.2021,3.257,3.2547,3.264,3.2471,0.13%
135,29.06.2021,3.2528,3.2587,3.2662,3.2501,-0.13%
136,28.06.2021,3.2571,3.2513,3.2648,3.248,0.33%
137,25.06.2021,3.2463,3.2436,3.2555,3.2403,0.17%
138,24.06.2021,3.2408,3.2519,3.2634,3.239,-0.30%
139,23.06.2021,3.2504,3.2596,3.2622,3.2471,-0.21%
140,22.06.2021,3.2574,3.265,3.2715,3.2564,-0.21%
141,21.06.2021,3.2644,3.2786,3.2858,3.2608,-0.38%
142,18.06.2021,3.2769,3.2692,3.2824,3.263,0.30%
143,17.06.2021,3.267,3.2576,3.2696,3.2547,0.35%
144,16.06.2021,3.2555,3.2408,3.2603,3.2352,0.51%
145,15.06.2021,3.2391,3.2448,3.2476,3.2357,-0.12%
146,14.06.2021,3.243,3.2534,3.2576,3.2436,-0.24%
147,11.06.2021,3.2509,3.2439,3.2576,3.2401,0.31%
148,10.06.2021,3.241,3.2428,3.2487,3.2403,0.01%
149,09.06.2021,3.2407,3.2437,3.2492,3.2406,-0.06%
150,08.06.2021,3.2428,3.2462,3.2513,3.2418,-0.06%
151,07.06.2021,3.2447,3.2512,3.2541,3.2434,-0.15%
152,04.06.2021,3.2497,3.2564,3.2634,3.2486,-0.15%
153,03.06.2021,3.2545,3.2485,3.2592,3.2459,0.26%
154,02.06.2021,3.2461,3.2414,3.2588,3.2401,0.17%
155,01.06.2021,3.2406,3.2482,3.2503,3.237,-0.19%
156,31.05.2021,3.2469,3.2502,3.2521,3.2452,-0.01%
157,28.05.2021,3.2473,3.2424,3.2559,3.2409,0.21%
158,27.05.2021,3.2406,3.2485,3.2539,3.2411,-0.18%
159,26.05.2021,3.2466,3.2418,3.2545,3.2392,0.21%
160,25.05.2021,3.2399,3.2497,3.251,3.2383,-0.24%
161,24.05.2021,3.2477,3.2552,3.2647,3.2466,-0.19%
162,21.05.2021,3.2538,3.2552,3.26,3.2492,-0.00%
163,20.05.2021,3.2539,3.2669,3.2688,3.2513,-0.34%
164,19.05.2021,3.2651,3.2541,3.2771,3.2517,0.41%
