,תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %
0,04.01.2022,2088.53,2090.7,2098.09,2081.29,68.06M,0.08%
1,03.01.2022,2086.85,2079.09,2092.85,2074.94,131.37M,0.66%
2,02.01.2022,2073.09,2054.74,2074.96,2053.63,46.99M,0.81%
3,30.12.2021,2056.51,2039.54,2058.86,2039.54,94.79M,0.39%
4,29.12.2021,2048.6,2060.67,2062.92,2044.37,99.01M,-0.43%
5,28.12.2021,2057.38,2045.43,2066.15,2045.21,106.89M,0.88%
6,27.12.2021,2039.36,2034.11,2039.36,2027.03,77.10M,0.25%
7,26.12.2021,2034.27,2026.97,2043.21,2026.83,42.17M,0.46%
8,23.12.2021,2025.02,2010.33,2029.99,2010.01,74.50M,1.26%
9,22.12.2021,1999.86,1983.31,1999.86,1981.35,60.29M,1.23%
10,21.12.2021,1975.64,1960.25,1975.64,1960.25,57.10M,1.44%
11,20.12.2021,1947.66,1957.61,1957.61,1931.84,77.05M,-1.74%
12,19.12.2021,1982.12,1986.6,1986.6,1977.61,32.20M,-0.59%
13,16.12.2021,1993.87,1993.53,2002.09,1990.82,77.47M,1.23%
14,15.12.2021,1969.66,1969.84,1977.16,1962.62,69.50M,-0.01%
15,14.12.2021,1969.81,1973.9,1974.66,1948.65,48.09M,-0.23%
16,13.12.2021,1974.27,1990.02,1995.7,1972.49,52.50M,-0.76%
17,12.12.2021,1989.45,1996.99,1999.44,1988.05,20.01M,-0.29%
18,09.12.2021,1995.28,2004.87,2004.87,1991.15,51.74M,-0.06%
19,08.12.2021,1996.44,2003.81,2014.22,1992.7,65.85M,-0.42%
20,07.12.2021,2004.81,1977.84,2004.81,1977.84,64.08M,1.87%
21,06.12.2021,1968.06,1954.64,1968.06,1952.18,69.36M,0.84%
22,05.12.2021,1951.68,1945.16,1953.71,1940.52,31.35M,-0.22%
23,02.12.2021,1955.89,1968.45,1972.53,1945.62,156.14M,-1.25%
24,01.12.2021,1980.61,1959.55,1980.61,1959.55,66.66M,1.33%
25,30.11.2021,1954.62,1956.63,1959.63,1947.2,101.85M,-0.74%
26,29.11.2021,1969.16,1966.21,1970.87,1958.31,54.75M,0.69%
27,28.11.2021,1955.74,1935.75,1960.18,1916.94,75.71M,-1.58%
28,25.11.2021,1987.15,1986.02,1987.36,1982.76,62.69M,0.57%
29,24.11.2021,1975.79,1984.3,1990.67,1967.93,67.58M,-0.43%
30,23.11.2021,1984.3,1987.79,1989.24,1967.39,61.94M,-0.69%
31,22.11.2021,1998.0,1983.05,1998.0,1981.41,62.09M,0.87%
32,21.11.2021,1980.7,1980.04,1981.15,1973.61,32.32M,-0.25%
33,18.11.2021,1985.64,1984.84,1993.28,1981.46,61.09M,0.24%
34,17.11.2021,1980.84,1989.88,1991.95,1978.15,58.26M,-0.31%
35,16.11.2021,1986.94,1994.41,1997.61,1983.1,66.96M,-0.26%
36,15.11.2021,1992.21,1992.46,1996.13,1989.29,47.29M,-0.02%
37,14.11.2021,1992.53,1982.63,1992.53,1982.63,26.00M,0.85%
38,11.11.2021,1975.75,1961.36,1975.75,1950.36,46.64M,0.48%
39,10.11.2021,1966.23,1982.93,1984.8,1958.82,67.82M,-0.67%
40,09.11.2021,1979.53,1985.3,1990.44,1975.61,44.49M,-0.23%
41,08.11.2021,1984.17,1981.69,1984.17,1973.39,67.29M,0.08%
42,07.11.2021,1982.52,1972.04,1984.43,1972.04,28.39M,0.56%
43,04.11.2021,1971.56,1970.8,1981.25,1970.21,95.39M,0.25%
44,03.11.2021,1966.61,1966.58,1975.53,1955.14,55.16M,0.17%
45,02.11.2021,1963.23,1950.59,1968.11,1949.26,89.88M,0.84%
46,01.11.2021,1946.94,1930.09,1946.94,1930.09,65.91M,1.00%
47,31.10.2021,1927.65,1922.88,1931.07,1921.31,33.97M,0.35%
48,28.10.2021,1920.86,1924.74,1927.17,1914.83,66.25M,-0.52%
49,27.10.2021,1930.9,1936.8,1937.66,1929.53,51.34M,-0.40%
50,26.10.2021,1938.59,1937.91,1943.01,1932.9,65.86M,0.27%
51,25.10.2021,1933.35,1923.78,1933.62,1922.1,74.43M,0.63%
52,24.10.2021,1921.31,1923.76,1932.49,1920.22,26.81M,-0.11%
53,21.10.2021,1923.51,1914.76,1923.95,1909.49,71.83M,0.55%
54,20.10.2021,1913.07,1909.05,1913.32,1907.06,44.07M,0.34%
55,19.10.2021,1906.59,1907.09,1908.77,1899.58,48.74M,0.25%
56,18.10.2021,1901.76,1908.02,1908.02,1895.4,49.18M,-0.37%
57,17.10.2021,1908.78,1912.48,1918.41,1907.24,33.98M,-0.04%
58,14.10.2021,1909.51,1903.72,1909.51,1899.14,63.91M,0.93%
59,13.10.2021,1891.93,1881.65,1897.47,1879.79,83.98M,0.47%
60,12.10.2021,1883.07,1866.0,1885.3,1863.6,59.67M,0.47%
61,11.10.2021,1874.19,1859.83,1874.44,1858.45,68.71M,0.72%
62,10.10.2021,1860.77,1857.56,1860.77,1853.97,29.83M,0.11%
63,07.10.2021,1858.71,1848.16,1860.69,1848.16,87.64M,1.13%
64,06.10.2021,1837.96,1852.83,1853.57,1828.13,69.24M,-0.98%
65,05.10.2021,1856.07,1846.17,1856.07,1842.9,45.80M,0.39%
66,04.10.2021,1848.93,1864.19,1864.35,1848.93,54.88M,-1.00%
67,03.10.2021,1867.63,1862.86,1868.86,1862.86,54.97M,0.43%
68,30.09.2021,1859.68,1862.59,1864.38,1853.51,80.18M,0.21%
69,29.09.2021,1855.78,1851.78,1861.49,1850.22,80.49M,-0.36%
70,26.09.2021,1862.49,1870.07,1870.93,1860.39,33.57M,-0.20%
71,23.09.2021,1866.28,1859.99,1870.68,1858.15,59.30M,0.74%
72,22.09.2021,1852.5,1852.05,1857.51,1848.31,55.56M,-0.62%
73,19.09.2021,1864.09,1855.62,1866.48,1855.03,49.10M,0.08%
74,14.09.2021,1862.53,1855.17,1865.63,1847.76,76.69M,0.32%
75,13.09.2021,1856.68,1857.43,1873.19,1853.91,67.71M,0.42%
