,Date,Rate,Open,High,Low,Volume,Change %
0,2022-01-04,2088.53,2090.7,2098.09,2081.29,68.06M,0.08
1,2022-01-03,2086.85,2079.09,2092.85,2074.94,131.37M,0.66
2,2022-01-02,2073.09,2054.74,2074.96,2053.63,46.99M,0.81
3,2021-12-30,2056.51,2039.54,2058.86,2039.54,94.79M,0.39
4,2021-12-29,2048.6,2060.67,2062.92,2044.37,99.01M,-0.43
5,2021-12-28,2057.38,2045.43,2066.15,2045.21,106.89M,0.88
6,2021-12-27,2039.36,2034.11,2039.36,2027.03,77.10M,0.25
7,2021-12-26,2034.27,2026.97,2043.21,2026.83,42.17M,0.46
8,2021-12-23,2025.02,2010.33,2029.99,2010.01,74.50M,1.26
9,2021-12-22,1999.86,1983.31,1999.86,1981.35,60.29M,1.23
10,2021-12-21,1975.64,1960.25,1975.64,1960.25,57.10M,1.44
11,2021-12-20,1947.66,1957.61,1957.61,1931.84,77.05M,-1.74
12,2021-12-19,1982.12,1986.6,1986.6,1977.61,32.20M,-0.59
13,2021-12-16,1993.87,1993.53,2002.09,1990.82,77.47M,1.23
14,2021-12-15,1969.66,1969.84,1977.16,1962.62,69.50M,-0.01
15,2021-12-14,1969.81,1973.9,1974.66,1948.65,48.09M,-0.23
16,2021-12-13,1974.27,1990.02,1995.7,1972.49,52.50M,-0.76
17,2021-12-12,1989.45,1996.99,1999.44,1988.05,20.01M,-0.29
18,2021-12-09,1995.28,2004.87,2004.87,1991.15,51.74M,-0.06
19,2021-12-08,1996.44,2003.81,2014.22,1992.7,65.85M,-0.42
20,2021-12-07,2004.81,1977.84,2004.81,1977.84,64.08M,1.87
21,2021-12-06,1968.06,1954.64,1968.06,1952.18,69.36M,0.84
22,2021-12-05,1951.68,1945.16,1953.71,1940.52,31.35M,-0.22
23,2021-12-02,1955.89,1968.45,1972.53,1945.62,156.14M,-1.25
24,2021-12-01,1980.61,1959.55,1980.61,1959.55,66.66M,1.33
25,2021-11-30,1954.62,1956.63,1959.63,1947.2,101.85M,-0.74
26,2021-11-29,1969.16,1966.21,1970.87,1958.31,54.75M,0.69
27,2021-11-28,1955.74,1935.75,1960.18,1916.94,75.71M,-1.58
28,2021-11-25,1987.15,1986.02,1987.36,1982.76,62.69M,0.57
29,2021-11-24,1975.79,1984.3,1990.67,1967.93,67.58M,-0.43
30,2021-11-23,1984.3,1987.79,1989.24,1967.39,61.94M,-0.69
31,2021-11-22,1998.0,1983.05,1998.0,1981.41,62.09M,0.87
32,2021-11-21,1980.7,1980.04,1981.15,1973.61,32.32M,-0.25
33,2021-11-18,1985.64,1984.84,1993.28,1981.46,61.09M,0.24
34,2021-11-17,1980.84,1989.88,1991.95,1978.15,58.26M,-0.31
35,2021-11-16,1986.94,1994.41,1997.61,1983.1,66.96M,-0.26
36,2021-11-15,1992.21,1992.46,1996.13,1989.29,47.29M,-0.02
37,2021-11-14,1992.53,1982.63,1992.53,1982.63,26.00M,0.85
38,2021-11-11,1975.75,1961.36,1975.75,1950.36,46.64M,0.48
39,2021-11-10,1966.23,1982.93,1984.8,1958.82,67.82M,-0.67
40,2021-11-09,1979.53,1985.3,1990.44,1975.61,44.49M,-0.23
41,2021-11-08,1984.17,1981.69,1984.17,1973.39,67.29M,0.08
42,2021-11-07,1982.52,1972.04,1984.43,1972.04,28.39M,0.56
43,2021-11-04,1971.56,1970.8,1981.25,1970.21,95.39M,0.25
44,2021-11-03,1966.61,1966.58,1975.53,1955.14,55.16M,0.17
45,2021-11-02,1963.23,1950.59,1968.11,1949.26,89.88M,0.84
46,2021-11-01,1946.94,1930.09,1946.94,1930.09,65.91M,1.0
47,2021-10-31,1927.65,1922.88,1931.07,1921.31,33.97M,0.35
48,2021-10-28,1920.86,1924.74,1927.17,1914.83,66.25M,-0.52
49,2021-10-27,1930.9,1936.8,1937.66,1929.53,51.34M,-0.4
50,2021-10-26,1938.59,1937.91,1943.01,1932.9,65.86M,0.27
51,2021-10-25,1933.35,1923.78,1933.62,1922.1,74.43M,0.63
52,2021-10-24,1921.31,1923.76,1932.49,1920.22,26.81M,-0.11
53,2021-10-21,1923.51,1914.76,1923.95,1909.49,71.83M,0.55
54,2021-10-20,1913.07,1909.05,1913.32,1907.06,44.07M,0.34
55,2021-10-19,1906.59,1907.09,1908.77,1899.58,48.74M,0.25
56,2021-10-18,1901.76,1908.02,1908.02,1895.4,49.18M,-0.37
57,2021-10-17,1908.78,1912.48,1918.41,1907.24,33.98M,-0.04
58,2021-10-14,1909.51,1903.72,1909.51,1899.14,63.91M,0.93
59,2021-10-13,1891.93,1881.65,1897.47,1879.79,83.98M,0.47
60,2021-10-12,1883.07,1866.0,1885.3,1863.6,59.67M,0.47
61,2021-10-11,1874.19,1859.83,1874.44,1858.45,68.71M,0.72
62,2021-10-10,1860.77,1857.56,1860.77,1853.97,29.83M,0.11
63,2021-10-07,1858.71,1848.16,1860.69,1848.16,87.64M,1.13
64,2021-10-06,1837.96,1852.83,1853.57,1828.13,69.24M,-0.98
65,2021-10-05,1856.07,1846.17,1856.07,1842.9,45.80M,0.39
66,2021-10-04,1848.93,1864.19,1864.35,1848.93,54.88M,-1.0
67,2021-10-03,1867.63,1862.86,1868.86,1862.86,54.97M,0.43
68,2021-09-30,1859.68,1862.59,1864.38,1853.51,80.18M,0.21
69,2021-09-29,1855.78,1851.78,1861.49,1850.22,80.49M,-0.36
70,2021-09-26,1862.49,1870.07,1870.93,1860.39,33.57M,-0.2
71,2021-09-23,1866.28,1859.99,1870.68,1858.15,59.30M,0.74
72,2021-09-22,1852.5,1852.05,1857.51,1848.31,55.56M,-0.62
73,2021-09-19,1864.09,1855.62,1866.48,1855.03,49.10M,0.08
74,2021-09-14,1862.53,1855.17,1865.63,1847.76,76.69M,0.32
75,2021-09-13,1856.68,1857.43,1873.19,1853.91,67.71M,0.42
76,2021-09-12,1848.98,1844.38,1855.33,1841.36,40.39M,-0.41
77,2021-09-09,1856.61,1821.69,1861.12,1818.49,82.11M,1.12
78,2021-09-05,1836.0,1827.81,1836.0,1824.66,43.67M,0.65
79,2021-09-02,1824.11,1827.78,1828.43,1820.8,126.28M,-0.17
80,2021-09-01,1827.26,1821.94,1829.28,1818.88,42.47M,0.48
81,2021-08-31,1818.53,1829.4,1831.7,1813.51,60.88M,-0.55
82,2021-08-30,1828.56,1831.87,1833.22,1820.5,41.70M,-0.09
83,2021-08-29,1830.23,1824.41,1830.23,1824.38,40.82M,0.6
84,2021-08-26,1819.35,1828.98,1828.98,1814.69,92.53M,-0.39
85,2021-08-25,1826.5,1810.95,1826.5,1808.08,52.87M,0.76
86,2021-08-24,1812.67,1803.81,1812.67,1799.78,50.87M,0.83
87,2021-08-23,1797.74,1786.81,1797.74,1783.67,53.22M,0.82
88,2021-08-22,1783.03,1786.52,1794.04,1779.44,28.66M,0.37
89,2021-08-19,1776.37,1764.75,1776.37,1754.6,49.53M,0.06
90,2021-08-18,1775.32,1757.08,1775.32,1757.08,46.54M,1.21
91,2021-08-17,1754.01,1755.76,1757.11,1747.01,57.55M,-0.25
92,2021-08-16,1758.41,1768.65,1769.69,1756.31,79.09M,-0.81
93,2021-08-15,1772.83,1770.11,1775.5,1766.26,61.37M,0.12
94,2021-08-12,1770.78,1760.4,1772.45,1752.66,95.20M,0.8
95,2021-08-11,1756.77,1758.31,1761.59,1749.8,71.83M,-0.19
96,2021-08-10,1760.11,1742.1,1760.11,1741.05,47.69M,0.98
97,2021-08-09,1743.08,1748.24,1749.26,1739.07,49.77M,-0.52
98,2021-08-08,1752.13,1755.35,1757.61,1751.59,23.67M,-0.11
99,2021-08-05,1754.03,1755.26,1760.93,1754.03,205.13M,-0.27
100,2021-08-04,1758.71,1761.86,1767.63,1751.74,41.99M,-0.03
101,2021-08-03,1759.16,1780.91,1780.99,1752.89,47.94M,-1.38
102,2021-08-02,1783.77,1776.12,1783.77,1776.12,57.04M,1.08
103,2021-08-01,1764.73,1758.93,1765.32,1758.05,25.43M,0.08
104,2021-07-29,1763.28,1766.33,1766.33,1756.77,84.47M,0.47
105,2021-07-28,1755.03,1737.18,1755.03,1733.26,59.41M,1.19
106,2021-07-27,1734.33,1738.83,1747.47,1733.07,68.92M,-0.57
107,2021-07-26,1744.28,1742.97,1745.95,1730.82,47.04M,-0.31
108,2021-07-25,1749.64,1739.0,1750.17,1738.82,35.52M,0.97
109,2021-07-22,1732.8,1712.78,1740.98,1712.78,61.56M,0.06
110,2021-07-21,1731.72,1712.15,1733.47,1711.42,61.01M,1.55
111,2021-07-20,1705.35,1692.84,1705.35,1691.57,66.41M,1.41
112,2021-07-19,1681.67,1719.32,1719.32,1681.67,93.41M,-2.97
113,2021-07-15,1733.08,1741.43,1741.43,1723.65,72.43M,-1.0
114,2021-07-14,1750.58,1750.78,1754.17,1746.44,46.82M,-0.26
115,2021-07-13,1755.18,1758.54,1760.11,1749.74,54.47M,-0.14
116,2021-07-12,1757.7,1762.44,1764.77,1754.6,60.12M,-0.32
117,2021-07-11,1763.27,1755.09,1763.46,1755.09,25.54M,1.57
118,2021-07-08,1735.93,1769.95,1769.95,1729.64,61.90M,-2.12
119,2021-07-07,1773.57,1764.42,1775.42,1764.26,72.00M,0.55
120,2021-07-06,1763.88,1768.04,1769.69,1761.9,45.85M,-0.24
121,2021-07-05,1768.06,1767.25,1769.9,1763.27,36.24M,0.01
122,2021-07-04,1767.84,1767.73,1771.35,1766.8,20.45M,0.13
123,2021-07-01,1765.59,1766.78,1771.33,1761.16,103.91M,0.06
124,2021-06-30,1764.58,1767.96,1770.73,1762.49,66.31M,-0.2
125,2021-06-29,1768.15,1770.62,1774.88,1764.58,48.90M,-0.16
126,2021-06-28,1770.98,1766.2,1773.3,1763.71,47.28M,0.32
127,2021-06-27,1765.31,1771.74,1773.88,1762.82,21.31M,-0.04
128,2021-06-24,1765.94,1768.1,1771.09,1764.21,101.58M,-0.14
129,2021-06-23,1768.43,1769.14,1769.53,1759.19,51.70M,0.25
130,2021-06-22,1764.05,1763.95,1767.9,1760.2,49.93M,0.34
131,2021-06-21,1758.13,1743.84,1759.68,1737.2,59.52M,0.62
132,2021-06-20,1747.28,1751.48,1751.89,1743.35,26.48M,-0.81
133,2021-06-17,1761.46,1766.77,1766.99,1755.68,77.13M,-0.69
134,2021-06-16,1773.66,1774.47,1774.47,1766.8,54.95M,-0.11
135,2021-06-15,1775.66,1784.15,1785.73,1771.91,66.85M,-0.42
136,2021-06-14,1783.21,1779.99,1787.77,1778.59,74.23M,0.23
137,2021-06-13,1779.04,1770.66,1779.35,1768.84,24.02M,1.07
138,2021-06-10,1760.24,1750.04,1761.04,1743.96,71.10M,0.32
139,2021-06-09,1754.58,1764.26,1765.19,1751.35,62.61M,-0.15
140,2021-06-08,1757.27,1760.48,1762.67,1753.1,62.32M,-0.17
141,2021-06-07,1760.23,1759.43,1762.91,1754.47,50.91M,0.11
142,2021-06-06,1758.29,1755.31,1763.8,1753.36,29.49M,0.42
143,2021-06-03,1750.92,1764.52,1766.13,1743.76,105.52M,-0.76
144,2021-06-02,1764.28,1758.14,1764.28,1753.39,68.52M,0.33
145,2021-06-01,1758.55,1774.29,1777.1,1757.95,51.91M,-0.77
146,2021-05-31,1772.19,1783.63,1784.84,1765.71,63.75M,-0.56
147,2021-05-30,1782.14,1778.28,1782.14,1777.76,26.05M,0.43
148,2021-05-27,1774.47,1782.01,1782.33,1768.27,99.48M,0.03
149,2021-05-26,1773.88,1770.39,1773.88,1759.81,67.24M,0.36
150,2021-05-25,1767.51,1778.94,1779.46,1764.4,67.56M,-0.35
151,2021-05-24,1773.69,1776.66,1781.21,1764.05,58.78M,-0.03
152,2021-05-23,1774.25,1763.57,1774.88,1763.57,29.24M,1.19
153,2021-05-20,1753.4,1742.42,1753.4,1736.93,95.48M,1.7
154,2021-05-19,1724.14,1727.67,1735.65,1715.31,64.84M,-0.58
155,2021-05-18,1734.15,1726.82,1738.64,1726.82,65.85M,1.35
